,Date,City,Country,Event,Sex,Distance,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
0,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,1,Tor Arne Hetland,Norway,221,1996,13,1974-01-12 00:00:00.000000,22.06160164271047,6,1300.0,1400.0
1,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Philippe Sanchez,France,613,1996,13,1969-09-26 00:00:00.000000,26.357289527720738,56,1300.0,1282.5
2,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Torgny Mogren,Sweden,590,1996,13,1963-07-26 00:00:00.000000,32.52840520191649,170,1300.0,1282.5
3,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Egil Kristiansen,Norway,527,1996,13,1966-01-18 00:00:00.000000,30.04517453798768,36,1300.0,1282.5
4,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Achim Walcher,Austria,488,1996,13,1967-12-01 00:00:00.000000,28.177960301163587,16,1300.0,1282.5
5,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Alexei Prokourorov,Russia,482,1996,13,1964-03-25 00:00:00.000000,31.863107460643395,139,1300.0,1282.5
6,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Roberto De Zolt Ponte,Italy,403,1996,13,1970-01-23 00:00:00.000000,26.031485284052017,21,1300.0,1282.5
7,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Hans Diethelm,Switzerland,614,1996,13,1967-07-18 00:00:00.000000,28.550308008213552,74,1300.0,1282.5
8,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Stephan Kunz,Liechtenstein,449,1996,13,1972-01-31 00:00:00.000000,24.01095140314853,23,1300.0,1282.5
9,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Sergei Tchepikov,Russia,578,1996,13,1967-01-30 00:00:00.000000,29.013004791238878,16,1300.0,1282.5
10,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Daniel Gideonsson,Sweden,571,1996,13,1973-07-13 00:00:00.000000,22.562628336755647,12,1300.0,1282.5
11,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Mikhail Botvinov,Austria,319,1996,13,1967-11-17 00:00:00.000000,28.216290212183434,108,1300.0,1282.5
12,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Lubos Buchta,Czechia,580,1996,13,1967-05-16 00:00:00.000000,28.722792607802873,89,1300.0,1282.5
13,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Vincent Vittoz,France,30,1996,13,1975-07-17 00:00:00.000000,20.553045859000683,5,1300.0,1282.5
14,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Håkan Nordbäck,Sweden,530,1996,13,1969-07-13 00:00:00.000000,26.562628336755647,20,1300.0,1282.5
15,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Wilhelm Aschwanden,Switzerland,405,1996,13,1969-12-18 00:00:00.000000,26.130047912388775,34,1300.0,1282.5
16,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,17,Johann Mühlegg,Spain,486,1996,13,1970-11-08 00:00:00.000000,25.24024640657084,72,1300.0,1282.5
17,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,2,Peter Schlickenrieder,Germany,474,1996,13,1970-02-16 00:00:00.000000,25.965776865160848,48,1300.0,1395.0
18,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,3,Silvio Fauner,Italy,420,1996,13,1968-11-01 00:00:00.000000,27.2580424366872,106,1300.0,1390.0
19,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,33,Ivan Hudac,Slovakia,621,1996,13,1971-08-10 00:00:00.000000,24.487337440109513,28,1300.0,1240.0
20,1996-02-04,Reit im Winkl,Germany,World Cup,M,Sprint,0,F,34,Vaclav Korunka,Czechia,573,1996,13,1965-12-25 00:00:00.000000,30.11088295687885,94,1300.0,1235.0
